seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_2268,,8,8,9,2,10,1199.8,2,36.916666666666664,5.0,11,3,3,guaruja,SP
2018Q2,2018,2,seller_2197,,15,15,15,1,15,2408.4,1,349.53333333333336,5.0,5,3,3,itapevi,SP
2018Q2,2018,2,seller_820,,39,39,37,0,36,1374.72,4,26.716666666666665,5.0,8,3,3,sao paulo,SP
2018Q2,2018,2,seller_1590,,15,15,16,0,16,2703.0,2,27.0,5.0,16,3,3,sao paulo,SP
2018Q2,2018,2,seller_2285,,25,25,26,1,25,1441.4,2,36.43333333333333,5.0,12,3,3,belo horizonte,MG
2018Q2,2018,2,seller_1425,,2,2,2,0,2,69.4,0,240.95,5.0,4,2,2,divinopolis,MG
2018Q2,2018,2,seller_374,,41,41,41,0,43,2530.6,1,18.083333333333332,5.0,19,3,3,sao paulo,SP
2018Q2,2018,2,seller_173,,18,19,20,1,27,1497.71,6,1103.85,5.0,18,2,2,sao paulo,SP
2018Q2,2018,2,seller_3053,,3,3,1,0,2,199.98,0,656.6333333333333,5.0,11,3,2,sao paulo,SP
2018Q2,2018,2,seller_2777,,6,6,6,0,9,800.55,5,18.5,1.0,13,2,2,ribeirao preto,SP
2018Q2,2018,2,seller_335,,12,12,13,0,13,2033.94,1,14.433333333333334,5.0,4,3,3,cotia,SP
2018Q2,2018,2,seller_1416,,6,6,6,0,8,1459.92,3,13.583333333333334,4.5,8,3,3,criciuma,SC
2018Q2,2018,2,seller_1328,,29,29,29,1,27,2639.13,1,24.433333333333334,5.0,12,3,3,betim,MG
2018Q2,2018,2,seller_2899,,2,2,3,0,5,1103.0,1,12.025,5.0,5,2,2,diadema,SP
2018Q2,2018,2,seller_2931,,10,10,10,1,11,978.0,2,14.041666666666666,5.0,6,3,3,amparo,SP
2018Q2,2018,2,seller_1479,,15,15,15,1,14,1349.85,2,34.55,5.0,4,3,3,ibitinga,SP
2018Q2,2018,2,seller_1808,,4,4,3,1,4,297.2,0,15.241666666666667,5.0,11,3,3,campinas,SP
2018Q2,2018,2,seller_1801,,18,19,19,0,24,1824.98,3,29.55,4.0,7,3,3,sao paulo,SP
2018Q2,2018,2,seller_1768,,15,15,15,0,15,1963.5,1,29.033333333333335,5.0,2,2,2,rio claro,SP
