seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2017Q3,2017,3,seller_113,True,1,1,0,0,1,298.13,1,18.683333333333334,1.0,2,3,1,ribeirao preto,SP
2018Q1,2018,1,seller_1587,False,1,1,1,0,0,0.0,0,13.683333333333334,0.0,6,3,1,curitiba,PR
2017Q1,2017,1,seller_1405,False,1,1,0,0,0,0.0,0,25.9,0.0,1,3,1,duque de caxias,RJ
2017Q4,2017,4,seller_875,False,2,2,2,0,1,154.9,0,82.475,5.0,2,3,2,limeira,SP
2017Q4,2017,4,seller_322,True,1,1,1,0,1,409.9,0,15.083333333333334,4.0,5,2,1,curitiba,PR
2017Q3,2017,3,seller_2183,False,1,1,1,0,1,19.99,0,12.616666666666667,5.0,1,3,1,centro,MG
2017Q1,2017,1,seller_639,True,1,1,1,0,1,3549.0,0,928.3,5.0,1,2,1,montes claros,MG
2017Q2,2017,2,seller_1175,False,1,1,1,0,1,59.9,0,52.25,5.0,1,3,1,sao paulo,SP
2017Q4,2017,4,seller_493,False,2,2,2,0,2,79.2,0,982.1916666666667,5.0,3,3,2,sao paulo,SP
2017Q4,2017,4,seller_2837,True,1,1,1,0,0,0.0,0,16.6,0.0,1,2,1,santa rita do sapucai,MG
2017Q4,2017,4,seller_1663,True,1,1,1,0,1,204.0,1,19.383333333333333,4.0,1,2,1,nova iguacu,RJ
2018Q1,2018,1,seller_1152,True,1,1,1,0,1,49.9,0,2305.516666666667,3.0,2,1,1,belo horizonte,MG
2017Q3,2017,3,seller_3017,False,1,1,1,0,1,999.99,0,1444.3333333333333,4.0,6,1,1,suzano,SP
2018Q1,2018,1,seller_978,True,1,1,1,1,1,590.0,1,13.466666666666667,1.0,2,3,1,sao bernardo do campo,SP
2017Q3,2017,3,seller_2736,False,1,1,1,0,1,31.0,0,17.216666666666665,5.0,4,1,1,sao paulo,SP
2018Q1,2018,1,seller_689,False,1,1,0,0,0,0.0,0,45.68333333333333,0.0,1,3,1,guarulhos,SP
2017Q1,2017,1,seller_1267,False,1,1,1,0,1,21.99,0,34.166666666666664,5.0,1,2,1,sao paulo,SP
2017Q3,2017,3,seller_770,False,1,1,1,0,1,104.99,0,53.9,5.0,1,2,1,rio de janeiro,RJ
2017Q2,2017,2,seller_1404,True,1,1,0,0,0,0.0,0,8.216666666666667,0.0,1,2,1,belo horizonte,MG
2017Q3,2017,3,seller_1596,True,1,1,1,0,1,199.0,0,2724.3166666666666,5.0,1,1,1,sao carlos,SP
2018Q1,2018,1,seller_2761,False,2,2,2,0,1,88.99,0,821.5333333333333,5.0,2,3,2,marechal candido rondon,PR
2018Q1,2018,1,seller_309,True,1,1,0,0,0,0.0,0,2398.4333333333334,0.0,2,1,1,bauru,SP
2017Q3,2017,3,seller_2291,False,1,1,1,0,1,39.9,0,16.066666666666666,5.0,1,3,1,sao jose do rio preto,SP
2017Q3,2017,3,seller_2317,False,1,1,1,0,1,49.9,0,12.316666666666666,5.0,4,1,1,caxias do sul,RS
2018Q1,2018,1,seller_1589,False,2,2,2,1,0,0.0,0,1705.4083333333333,0.0,10,3,1,porto alegre,RS
2018Q1,2018,1,seller_1900,True,1,1,1,0,1,10.9,1,8.866666666666667,2.0,1,1,1,gaspar,SC
2017Q3,2017,3,seller_1871,False,1,1,1,0,0,0.0,0,1876.5166666666667,0.0,1,3,1,sao paulo,SP
2017Q2,2017,2,seller_579,False,1,1,1,0,1,129.9,0,8.233333333333333,5.0,1,2,1,piracicaba,SP
2017Q2,2017,2,seller_1345,True,1,1,1,1,1,149.9,0,10.3,1.0,1,2,1,campinas,SP
2017Q4,2017,4,seller_509,False,1,1,0,0,0,0.0,0,36.516666666666666,0.0,1,3,1,sorocaba,SP
2018Q1,2018,1,seller_1121,False,1,1,1,0,1,126.4,0,51.03333333333333,5.0,13,3,1,sao paulo,SP
